timestamp,latitude,longitude
1580581179,2.81223,102.25
1580581187,2.8255,102.236
1580581190,2.83182,102.23
1580581196,2.84473,102.216
1580581196,2.84152,102.219
1580581198,2.84473,102.216
1580581209,2.86101,102.199
1580581213,2.86757,102.192
1580581221,2.88088,102.179
1580581233,2.90076,102.158
1580581239,2.91106,102.147
1580581247,2.92415,102.134
1580581257,2.94109,102.116
1580581260,2.9495,102.108
1580581261,2.94768,102.109
1580581263,2.94868,102.108
1580581269,2.96161,102.095
1580581281,2.9813,102.074
1580581288,2.99194,102.064
1580581295,3.0036,102.052
1580581305,3.02017,102.034
1580581306,3.02576,102.029
1580581313,3.03538,102.019
1580581317,3.0423,102.012
1580581327,3.05901,101.994
1580581335,3.07219,101.981
1580581341,3.08217,101.97
1580581349,3.09549,101.956
1580581360,3.11797,101.933
1580581362,3.11881,101.932
1580581365,3.12419,101.927
1580581378,3.14703,101.903
1580581379,3.14703,101.903
1580581383,3.15382,101.896
1580581390,3.16723,101.882
1580581400,3.18343,101.866
1580581404,3.19022,101.859
1580581413,3.20558,101.843
1580581423,3.22261,101.826
1580581427,3.23017,101.818
1580581435,3.24554,101.802
1580581439,3.25017,101.798
1580581448,3.26364,101.784
1580581452,3.27234,101.775
1580581461,3.28729,101.76
1580581474,3.30991,101.737
1580581478,3.31673,101.73
1580581486,3.33053,101.715
1580581494,3.34653,101.699
1580581494,3.34278,101.703
1580581497,3.35078,101.695
1580581499,3.35269,101.693
1580581507,3.36633,101.679
1580581521,3.38979,101.655
1580581523,3.39304,101.652
1580581534,3.41153,101.632
1580581540,3.42247,101.621
1580581548,3.43495,101.609
1580581556,3.44966,101.594
1580581557,3.45154,101.592
1580581558,3.45394,101.589
1580581563,3.45973,101.583
1580581574,3.48192,101.561
1580581582,3.49556,101.546
1580581586,3.50276,101.539
1580581595,3.51814,101.523
1580581604,3.53339,101.508
1580581611,3.54419,101.497
1580581612,3.54707,101.494
1580581616,3.55394,101.487
1580581630,3.57788,101.463
1580581634,3.58475,101.456
1580581642,3.5983,101.442
1580581650,3.60896,101.431
1580581658,3.62622,101.413
1580581666,3.63959,101.399
1580581675,3.65277,101.386
1580581677,3.6584,101.38
1580581682,3.66613,101.372
1580581684,3.66869,101.369
1580581688,3.67711,101.361
1580581696,3.69159,101.346
1580581705,3.70742,101.331
1580581713,3.72221,101.319
1580581722,3.73917,101.304
1580581728,3.74834,101.296
1580581731,3.75403,101.291
1580581736,3.7636,101.284
1580581739,3.76533,101.282
1580581745,3.78279,101.269
1580581754,3.7982,101.257
1580581762,3.81445,101.246
1580581772,3.83511,101.232
1580581780,3.85178,101.22
1580581786,3.86439,101.212
1580581787,3.86746,101.21
1580581793,3.87804,101.203
1580581798,3.88618,101.197
1580581809,3.91081,101.181
1580581817,3.92734,101.17
1580581823,3.93976,101.161
1580581829,3.9473,101.156
1580581837,3.96812,101.142
1580581843,3.98012,101.134
1580581857,4.00889,101.115
1580581859,4.01216,101.113
1580581873,4.04196,101.093
1580581877,4.0493,101.088
1580581885,4.06643,101.076
1580581889,4.07419,101.071
1580581903,4.10293,101.052
1580581906,4.10907,101.048
1580581908,4.11008,101.047
1580581915,4.1229,101.038
1580581922,4.13817,101.028
1580581925,4.14716,101.022
1580581929,4.1553,101.016
1580581939,4.17546,101.003
1580581949,4.19678,100.989
1580581957,4.21284,100.978
1580581965,4.22914,100.967
1580581967,4.23079,100.966
1580581967,4.23079,100.966
1580581978,4.25623,100.948
1580581979,4.25623,100.948
1580581990,4.27685,100.935
1580581997,4.29135,100.925
1580582001,4.30198,100.918
1580582020,4.33923,100.893
1580582029,4.3544,100.883
1580582032,4.3634,100.876
1580582033,4.3634,100.876
1580582042,4.3829,100.863
1580582048,4.39645,100.854
1580582055,4.41124,100.844
1580582069,4.43713,100.827
1580582071,4.44513,100.822
1580582082,4.46669,100.807
1580582088,4.48091,100.798
1580582090,4.48091,100.798
1580582094,4.49383,100.789
1580582100,4.50188,100.784
1580582104,4.51177,100.777
1580582112,4.52842,100.766
1580582122,4.54967,100.753
1580582130,4.56377,100.746
1580582138,4.58451,100.735
1580582144,4.59098,100.732
1580582146,4.60155,100.727
1580582154,4.62091,100.719
1580582163,4.63986,100.712
1580582165,4.64589,100.709
1580582176,4.6696,100.702
1580582184,4.69051,100.695
1580582191,4.70531,100.69
